DATE,VERSION NO.,CHANGE TYPE,REASON FOR CHANGE,PERSON WHO MADE CHANGE
12/30/2024 8:56:58,my_lazada_purchases_v2,Created a duplicate ,Duplicate so that the raw data was untouched,Janice
12/30/2024 9:04:10,my_lazada_purchases_v2,Created a new column,Check the number of order number to make sure it is complete(15),Janice
12/30/2024 9:12:42,my_lazada_purchases_v2,Change A393,The order number was incorrect,Janice
12/30/2024 9:21:27,my_lazada_purchases_v2,Change A170,The order number was incorrect,Janice
12/30/2024 9:23:41,my_lazada_purchases_v2,Change A167,The order number was incorrect,Janice
12/30/2024 9:24:05,my_lazada_purchases_v2,Change A166,The order number was incorrect,Janice
12/30/2024 9:26:44,my_lazada_purchases_v2,Change A90,The order number was incorrect,Janice
12/30/2024 9:28:29,my_lazada_purchases_v2,Change A71,The order number was incorrect,Janice
12/30/2024 9:30:41,my_lazada_purchases_v2,Change A72,The order number was incorrect,Janice
12/30/2024 9:31:02,my_lazada_purchases_v2,Change A73,The order number was incorrect,Janice
12/30/2024 9:33:54,my_lazada_purchases_v2,Change I4,The date was incorrect,Janice
12/30/2024 9:36:08,my_lazada_purchases_v2,Change I5,The date was incorrect,Janice
12/30/2024 9:37:09,my_lazada_purchases_v2,Change I6,The date was incorrect,Janice
12/30/2024 9:40:44,my_lazada_purchases_v2,Column A-Q,Format to Left-align to make it uniform,Janice
12/30/2024 9:54:33,my_lazada_purchases_v2,Change I447,The cell was blank,Janice
12/30/2024 9:55:25,my_lazada_purchases_v2,Change I448,The cell was blank,Janice
12/30/2024 13:15:52,my_lazada_purchases_v2,Deleted Column B,Deleted the column LEN,Janice
12/30/2024 13:19:30,my_lazada_purchases_v2,Added a values to J64,The cell was blank,Janice
12/30/2024 13:24:35,my_lazada_purchases_v2,Added a values to J65,The cell was blank,Janice
12/30/2024 13:25:19,my_lazada_purchases_v2,Added a values to J66,The cell was blank,Janice
12/30/2024 16:51:30,my_lazada_purchases_v2,Correct P337,The 'nAt' change to 'not'.,Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 4,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 40-42,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 85,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 100,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 108-109,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 119-126,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 145,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 156,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 170,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 180,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 233-234,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 254,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 269,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 273,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 279,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 281,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 309,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 313,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 335,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 346-253,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Row 361,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 394-395,"The amount is refunded, data no longer needed.",Janice
12/30/2024 17:41:13,my_lazada_purchases_v2,Deleted Rows 429-440,"The amount is refunded, data no longer needed.",Janice
1/2/2025 10:43:15,my_lazada_purchases_v2,Change J150,From 2924 to 2024,Janice
1/5/2025 18:20:49,my_lazada_purchases_v2,Remove row 198,Data no longer needed,Janice
1/5/2025 18:25:15,my_lazada_purchases_v2,"Change H24, H25,H26",Date is incorrect. From 12/20/2024 to 12/9/2024,Janice
1/5/2025 18:30:48,my_lazada_purchases_v2,"Change H28, H29, H30",Date is incorrect. From 12/09/2024 to 11/30/2024,Janice
1/5/2025 18:34:27,my_lazada_purchases_v2,Change H39-H41,Date is incorrect. From 11/24/2024 to 11/21/2024,Janice
1/5/2025 18:38:09,my_lazada_purchases_v2,Change H65-H68,Date is incorrect From 11/21/2024 to 11/13/2024,Janice
1/5/2025 18:41:34,my_lazada_purchases_v2,Change H68-H70,Date is incorrect. From 11/13/2024 to 11/09/2024,Janice
1/5/2025 18:44:04,my_lazada_purchases_v2,Change H72,Date is incorrect. From 11/9/2024 to 11/07/2024,Janice
1/5/2025 18:46:41,my_lazada_purchases_v2,Change H73,Date is incorrect. From 11/09/2024 to 11/07/2024,Janice
1/5/2025 18:50:41,my_lazada_purchases_v2,Change H81- H82,Date is incorrect From 11/7/2024 to 10/30/2024,Janice
