order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
950766749211266,Kitchen Faucet 304 Staineless ,106.49,1,House Maintenace,Credit Card,Dimension,12/26/2024,12/27/2024,12/28/2024,J&T Express PH,"Magallanes, Cavite",N/A,Yes,N/A,N/A
950766749211266,4 in 1 Shower Head head Set with faucet ,116.26,1,House Maintenace,Credit Card,Dimension,12/26/2024,12/27/2024,12/28/2024,J&T Express PH,"Magallanes, Cavite",N/A,Yes,N/A,N/A
948315720011266,100% Original Amazing Authentic Hilton Pillow,"1,500.00",4,Pasabuy,Credit Card,amz fashion,09/09/2024,N/A,N/A,LEX PH,"Silang, Cavite",N/A,Yes,Yes,Did not deliver
948309304111266,72 Colors OBOS Professional Color Lead Oil color Set,419.00,1,Pasabuy,Credit Card,notebool school supplies,03//25/2024,12/20/2024,12/21/2024,LEX PH,"Silang, Cavite",Voucher,Yes,N/A ,N/A
941414058511266,"Stripe Plain Canadian Bedsheet with two pillowcases - Stripe Beige, single",229.00,1,House Maintenace,Credit Card,Magsmerchandise,6/7/20245,12/21/2024,12/22/2024,J&T Express PH,"Magallanes, Cavite",N/A,Yes,N/A,N/A
941414058511266,"Stripe Plain Canadian Bedsheet with two pillowcases - Stripe Natural, single",239.00,1,House Maintenace,Credit Card,Magsmerchandise,12/20/2024,12/21/2024,12/22/2024,J&T Express PH,"Magallanes, Cavite",N/A,Yes,N/A,N/A
941414058311266,UniGlobal High Quality Rattan Cane Laundry Basket with cover,191.90,1,Personal use,Credit Card,Ok Plastic,12/20/2024,12/23/2024,12/26/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
941414058111266,Lipo Colla Plus Slimming 8 in 1 Powedered orange juice,489.92,1,Personal use,Credit Card,T AND M ONLINE SHOP,12/20/2024,12/21/2024,12/22/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
941414057911266,"Air Purifier with Hepa Filter, 2PCs",380.53,1,Pasabuy,Credit Card,123 BABY,12/20/2024,12/20/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
941414057711266,wrangler men t-shirt overrun branded,220.60,1,Others,Credit Card,Chekay online shoy,12/20/2024,12/21/2024,12/22/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409625411266,Ecoplanet Tissue REVEUSE Tissie B1T ,205.24,2,Personal use,Credit Card,Eco Planet Official Store,12/20/2024,12/22/2024,12/23/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Handhold Pressure Boost shower Nozzle - silver,139.00,1,House Maintenace,Credit Card,Lux kiichen,12/20/2024,12/20/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux kitchen 15 pcs/roll Thickened Garbage bag,30.00,1,House Maintenace,Credit Card,Lux kiichen,12/20/2024,12/21/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux Kiichen Absorbent soft memory foam bathroom mat,55.00,1,House Maintenace,Credit Card,Lux kiichen,12/20/2024,12/22/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux kiichen air freshner spray indoor bedroom long-lasting fragrance - Blue ocean,59.00,1,House Maintenace,Credit Card,Lux kiichen,12/20/2024,12/23/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux kiichen air freshner spray indoor bedroom long-lasting fragrance - Pink peach,59.00,1,House Maintenace,Credit Card,Lux kiichen,12/20/2024,12/24/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux kiichen abbott anti-bacterial Spray for car,49.00,1,Car maintenace,Credit Card,Lux kiichen,12/20/2024,12/25/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux Kiichen Multifunctional double sided chenile car,19.00,1,Car maintenace,Credit Card,Lux kiichen,12/20/2024,12/27/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624311266,Lux Kiichen 510ml stainless steel coffee mug,108.00,1,Personal use,Credit Card,Lux kiichen,12/20/2024,12/28/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
941409624111266,Rechargeable children Electric Toothbrush for kids,22.57,1,Others,Credit Card,Pastsky,12/20/2024,12/21/2024,12/28/2024,J&T Express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
941409623811266,Anti-fog and anti-rain agent for glass windscreen rea-view mirror cleaning,80.00,1,Car maintenace,Credit Card,Beauty777,12/20/2024,12/20/2024,12/22/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A ,N/A
941409623811266,2 pcs Garden Pruning shear set,80.00,1,Garden maintenace,Credit Card,Beauty777,12/20/2024,12/20/2024,12/22/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A ,N/A
941409623611266,Pet cage dog care with poop tray - blue,159.63,1,Pet Care,Credit Card,Pet supplies center,12/20/2024,12/20/2024,12/21/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
934289497511266,Hippo paint brush 1/2,11.00,1,House Maintenace,Credit Card,Brix Industries Manila,12/20/2024,12/10/2024,12/11/2024,J&T Cargo PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
934289497511266,Professional Paint Roller w/ Handle 9 inches,48.00,1,House Maintenace,Credit Card,Brix Industries Manila,12/20/2024,12/10/2024,12/11/2024,J&T Cargo PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
934289497511266,Davies Sun and Rain 4 liters - Pale Nile,889.00,1,House Maintenace,Credit Card,Brix Industries Manila,12/20/2024,12/10/2024,12/11/2024,J&T Cargo PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
934289497511266,Davis Sun and Rain 1 Liter Sand Beige,239.00,1,House Maintenace,Credit Card,Brix Industries Manila,12/9/2024,12/10/2024,12/11/2024,J&T Cargo PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
